price,opp,rooms,opp_rooms,city,address
528.30,128 m²,2 slpk.,,9000 Gent,Wispelbergstraat 3 002 | 9000 - Gent
van 3,64 - 154 m²,1 - 3 slpk.,,9000 Gent,Doornzelestraat 23-31 | 9000 - Gent
285.00,87 m²,2 slpk.,,9000 Gent,Stapelplein 80 bus 3.1 | 9000 - Gent
285.00,87 m²,2 slpk.,,9000 Gent,Stapelplein 80 bus 3.1 | 9000 - Gent
335.00,129 m²,3 slpk.,,9000 Gent,Forelstraat 8002 | 9000 - Gent
290.00,100 m²,2 slpk.,,9000 Gent,Nieuwewandeling 68 bus C | 9000 - Gent
430.00,200 m²,3 slpk.,,9000 Gent,Filaturestraat /2109 | 9000 - Gent
445.00,108 m²,2 slpk.,,9000 Gent,Oudburg 58 | 9000 - Gent
750.00,253 m²,2 slpk.,,9000 Gent,Gustaaf Callierlaan 270 | 9000 - Gent
435.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
445.00,93 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
685.00,134 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
235.00,45 m²,1 slpk.,,9000 Gent,Krijgsgasthuisstraat 2 | 9000 - Gent
284.49,71 m²,1 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
478.00,230 m²,2 slpk.,,9000 Gent,Fuchsiastraat 100/B | 9000 - Gent
210.00,40 m²,1 slpk.,,9000 Gent,Burggravenlaan 224 | 9000 - Gent
225.00,84 m²,2 slpk.,,9000 Gent,Ham 203 | 9000 - Gent
263.74,62 m²,1 slpk.,,9000 Gent,Bellevuestraat 34 | 9000 - Gent
283.00,62 m²,1 slpk.,,9000 Gent,Einde Were 13 | 9000 - Gent
555.00,153 m²,6 slpk.,,9000 Gent,Houtbriel 11 | 9000 - Gent
645.00,160 m²,3 slpk.,,9000 Gent,Burgstraat 37/02.01 | 9000 - Gent
645.00,160 m²,3 slpk.,,9000 Gent,Burgstraat 37/02.01 | 9000 - Gent
389.00,79 m²,2 slpk.,,9000 Gent,Einde Were 14 | 9000 - Gent
140.00,18 m²,1 slpk.,,9000 Gent,Oosteeklostraat 15 | 9000 - Gent
255.00,103 m²,3 slpk.,,9000 Gent,Rooigemlaan 625/101 | 9000 - Gent
410.00,130 m²,3 slpk.,,9000 Gent,Einde Were 132 | 9000 - Gent
455.00,99 m²,2 slpk.,,9000 Gent,Sint-Pietersnieuwstraat 64 | 9000 - Gent
455.00,102 m²,2 slpk.,,9000 Gent,Sint-Pietersnieuwstraat 66 | 9000 - Gent
374.00,85 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
435.00,99 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
445.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
3.450.,392 m²,3 slpk.,,9000 Gent,Vlaanderenstraat 25 | 9000 - Gent
425.00,108 m²,3 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
475.00,112 m²,2 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
495.00,118 m²,3 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
615.00,276 m²,4 slpk.,,9000 Gent,Lange Violettestraat 94 | 9000 - Gent
285.00,79 - 90 m²,2 slpk.,,9000 Gent,Stapelplein 80 | 9000 - Gent
van 3,72 - 165 m²,1 - 3 slpk.,,9000 Gent,Tondelierlaan 2 | 9000 - Gent
235.38,70 m²,1 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
361.15,111 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
375.65,117 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
383.65,112 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
391.15,117 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
375.00,235 m²,2 slpk.,,9000 Gent,Adres aanvragen
3.450.,392 m²,3 slpk.,,9000 Gent,Vlaanderenstraat 25 | 9000 - Gent
257.00,79 m²,1 slpk.,,9000 Gent,Einde Were 17 | 9000 - Gent
398.00,138 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
404.00,100 m²,2 slpk.,,9000 Gent,Doornzelestraat 23 | 9000 - Gent
